ID	ENGLISH	SPANISH	PORTUGUESE	NOTES	SIMPLIFIED	SEMANTIC FIELD	SENSORY CATEGORY
732		comer sopa	comer sopa		eat soup	Food and drink	VISUAL, AUDITORY
733		caer/entrar/meterse al agua	bater n'água		enter the water	Motion	VISUAL, AUDITORY
734		beber	bebendo		drink	Food and drink	AUDITORY
735		raspar	raspar		scrape	Basic actions and technology	AUDITORY
736		sonido de respiración	som de respiração		breathing	The body	AUDITORY
737		reír	rir		laugh	Emotion and values	AUDITORY
738		esperar	esperar		to wait	OTHER	?
739		sonido de fuego	som de fogo		fire	The physical world	AUDITORY
740		sonido de mono capuchino	som do macaco-prego		capuchin monkey	Animals	AUDITORY
741		sonido para llamar a inambú (especie de ave)	som para chamar inambu		tinamou	Animals	AUDITORY
742		sonido de un pájaro cantando, correr	som de um pássaro cantando, correndo		bird song	Animals	AUDITORY
743		salir, dejar	sair, deixar		leave, let go	Motion	VISUAL
744		sonido de trompetero (tipo de ave)	som do jacamim		bird species	Animals	AUDITORY
745		viajar, correr	viajar, correr		run	Motion	VISUAL
746		gritar	gritar		shout	Speech and language	AUDITORY
747		gritar	gritando		shout	Speech and language	AUDITORY
748		sonido de pájaro "kyhỹn"	som do pássaro kyhỹn		bird species	Animals	AUDITORY
749		rugido de jaguar	grito de onça		jaguar roaring	Animals	AUDITORY
750		flecha volando	flecha voando		arrow flying	Warfare and hunting	VISUAL, AUDITORY
751		pisotear	conculcar		trample	Basic actions and technology	VISUAL, AUDITORY
752		recoger con la mano	pegar com a mão		pick up	Basic actions and technology	VISUAL
753		caminar en zigzag	andar ziguezagueando		walk in a zigzag pattern	Motion	VISUAL
754		sonido de trompetero (tipo de ave)	som do pássaro jacamim		bird species	Animals	AUDITORY
755		sonido de mono llorando/chillando	som de macaco chorando		monkey sound	Animals	AUDITORY
756		cortar un poco	cortar um pouco		small cut	Basic actions and technology	VISUAL, AUDITORY
757		sonido de sumergirse/zambullirse	som de mergulhar		diving into water	Motion	AUDITORY
758		abrir caña seca (sacar tiras para tejer)	abrir palha		split into strips	Agriculture and vegetation	VISUAL, AUDITORY
759		eyaculación sexual	ejaculação sexual		ejaculation	The body	VISUAL
760		¿enviar/arremeter?, rascar	remeter, coçar		scratch	Basic actions and technology	VISUAL, AUDITORY
761		deslizarse	escorregar		slide	Basic actions and technology	VISUAL, AUDITORY
762		silencioso	silencioso		silent	Sense perception	AUDITORY
763		subir, entrar en vehículo	subir, entrar em veículo		get on a vehicle	Basic actions and technology	VISUAL
764		frotar/fregar	esfregar		scrub	Basic actions and technology	VISUAL, AUDITORY
765		romper maleza/arbustos	mato quebrado		break through brush	Agriculture and vegetation	AUDITORY
766		sonido de tejer cesta, ¡psst!	som de tecer cesta, psiu	Como pronombre, significa "a você" (a ti), ¿relación con el sentido "¡psst!"?	weaving basket	Basic actions and technology	VISUAL, AUDITORY
767		sonido de inambú (especie de ave)	som de inambu		bird species	Animals	AUDITORY
768		entrar en los matorrales/arbustos	entrar no mato		enter into the bushes	Agriculture and vegetation, Motion	AUDITORY
769		demorar	demorar		take a long time	OTHER	?
770		¿terminar?	aprontar	Como adverbio, significa "já" (ya).	finish	Time	?
771		sonido de fuego prendiéndose en el cuerpo	som de fogo pegando no corpo		catching fire	Basic actions and technology	AUDITORY, VISUAL
772		lanzar	jogar		throw	Motion	VISUAL
773		abrir caña (sacar tiras de caña para tejer)	abrir palha		split into strips	Agriculture and vegetation	VISUAL, AUDITORY
774		dar a todos	dar para todos		give to everyone	Basic actions and technology	VISUAL
775		caminar	andando		walk	Motion	VISUAL
776		sonido de canto de tucán	som do tucano cantando		toucan	Animals	AUDITORY
777		detenerse	parar		stop	Motion	VISUAL
778		frotar una herida	esfregar uma ferida		rub a wound	The body	VISUAL, AUDITORY
779		gotear	pingar		drip	The physical world	AUDITORY, VISUAL
780		sentarse, bajar la cabeza	sentar, abaixar a cabeça		sit down, lower one's head	Basic actions and technology	VISUAL
781		personas hablando	pessoas falando		people talking	Speech and language	AUDITORY
782		sonido del mono "sogisogi"	som do macaco sogisogi		monkey species	Animals	AUDITORY
783		sonido de pájaro como el de la hembra de inambú (especie de ave)	som do pássaro tipo inambu galinha		tinamou	Animals	AUDITORY
784		saltar	pular		jump	Basic actions and technology	VISUAL, AUDITORY
785		romper maleza/arbustos	quebrar mato		break through the bushes	Agriculture and vegetation	AUDITORY, VISUAL
786		sonido de romper caña	som de quebrar palha		cane splitting	Agriculture and vegetation	AUDITORY
787		flecha volando	flecha voando		arrow flying	Warfare and hunting	VISUAL
788		flecha que no se disparó	flecha não atirada		arrow that failed to launch	Warfare and hunting	VISUAL
789		sonido de flecha	som de flecha		arrow	Warfare and hunting	VISUAL, AUDITORY
790		sonido de flecha pasando por el suelo	som de flecha que passa no chão		arrow skimming the ground	Warfare and hunting	VISUAL, AUDITORY
791		sonido de una flecha que no se disparó	som de flecha que não disparou		arrow failing to launch	Warfare and hunting	VISUAL, AUDITORY
792		sonido de flecha entrando con fuerza	som de flecha entrando com força		arrow striking forcefully	Warfare and hunting	VISUAL, AUDITORY
793		dejar, soltar, caer	deixar, soltar, cair		to drop	Motion	VISUAL
794		romper caña	quebrar palha		split cane	Agriculture and vegetation	VISUAL, AUDITORY
795		caerse	cair		fall down	Motion	VISUAL
796		sonido de ¿pájaro dorado?	som do pássaro tipo oro		bird species	Animals	AUDITORY
797		señal para llamar a paujil (especie de ave)	sinal para chamar mutum		curassow	Animals	AUDITORY
798		sonido de pájaro "opoktioky"	som do pássaro tipo opoktioky		bird species	Animals	AUDITORY
799		sonido de sangre saliendo del cuerpo	som de sangue saindo do corpo		blood flowing	The body	VISUAL
800		golpear con hojas	bater com folhas		strike with leaves	Agriculture and vegetation	AUDITORY, VISUAL
801		sonido de flecha	som de flecha		arrow	Warfare and hunting	AUDITORY, VISUAL
802		sonido de ave volando	som de pássaro voando		bird in flight	Animals	AUDITORY
803		disparar con flecha	atirar com flecha		shoot an arrow	Warfare and hunting	VISUAL, AUDITORY
804		silbar	assobiar		whistle	Basic actions and technology	AUDITORY
805		hablar en voz baja	falar baixo		whisper	Speech and language	AUDITORY
806		sonido de lluvia ligera	som de chuva leve		drizzle	The physical world	AUDITORY
807		levantar algo, elevar algo	levantar		to lift	Motion	VISUAL
808		arrancar	arrancar		to pull out	Basic actions and technology	VISUAL, AUDITORY
809		cortar caña	cortar palha		cut cane	Agriculture and vegetation	AUDITORY, VISUAL
810		caminar	andar		walking	Motion	VISUAL, AUDITORY
811		sonido de cortar caña	som de cortar palha		to cut cane	Agriculture and vegetation	AUDITORY
812		sonido del mono "sogisogi"	som de macaco sogisogi		monkey species	Animals	AUDITORY
813		contacto físico, llegada apresurada, envío	contato físico, chegada com pressa, enviou		physical contact, hurried arrival, sending	Motion	VISUAL, TACTILE
814		mirar	olhar		to look	Sense perception	VISUAL
815		raspar	raspar		to scrape	Basic actions and technology	VISUAL, AUDITORY
816		juntar	ajuntar		to gather together	Quantity	VISUAL
817		sacar, jalar	tirar, puxar		to pull	Basic actions and technology	VISUAL
818		marchar	marchando		to march	Motion	AUDITORY
819		jalar/arrastrar/¿cargar? cañas sobre la espalda	puxar palha nas costas		to carry on the back	Agriculture and vegetation	VISUAL
820		sonido de ave calva (¿loro calvo?)	som de careca (ave)		bird species	Animals	AUDITORY
821		dormir	dormir		sleep	The body	INTERNAL STATE
822		jalar/arrastrar cañas con las manos	puxar palha com as mãos		to drag by hand	Agriculture and vegetation	VISUAL
823		caminar	andando		walk	Motion	VISUAL, AUDITORY
824		correr	correr		run	Motion	VISUAL, AUDITORY
825		colocar cañas/pajas en el techo	colocar palha no teto		to place thatch on a roof	The house	VISUAL
826		agarrar	pegar		grab	Basic actions and technology	VISUAL
827		sonido de flauta	som de flauta		flute	Basic actions and technology	AUDITORY
828		llegar, trabajar	chegar, trabalhar		to arrive	Motion	VISUAL
829		sonido de golpe	som de batida		to hit	Basic actions and technology	AUDITORY
830		sonido que se hace al entrar	som que se faz ao entrar		to enter	Motion	VISUAL
831		saltar	pular		jump	Basic actions and technology	VISUAL
832		golpear	bater		to hit	Basic actions and technology	AUDITORY
833		sonido de motor	som do motor		engine sound	Basic actions and technology	AUDITORY
834	yawn	bostezar			yawn	The body	AUDITORY
835	noise of eating	ruido al comer			eating	Food and drink	AUDITORY
836	light match	encender un fósforo			light a match	Basic actions and technology	AUDITORY
837	walk fast	caminar rápido			walk fast	Motion	VISUAL
838	crush (in mortar)	chancar (en mortero)			crush in mortar	Basic actions and technology	AUDITORY
839	kick	patear			kick	Basic actions and technology	VISUAL, AUDITORY
840	poke (without tip)	pinchar/hincar (con objeto no puntiagudo)			poke (without a sharp object)	Basic actions and technology	VISUAL
841	light (paper, fire)	encender (papel, fuego)			to light	Basic actions and technology	AUDITORY
842	lick	lamer			lick	The body	VISUAL
843	blow baby's nose	sonar la nariz de un bebé			blow baby's nose	The body	AUDITORY
844	shout	gritar			shout	Speech and language	AUDITORY
845	call (someone by 'ssss')	llamar (a alguien con 'ssss')			to call	Speech and language	AUDITORY
846	kill prey and it stays quiet	matar una presa y esta se queda en silencio			kill prey	Warfare and hunting, Animals	VISUAL, AUDITORY
847	hold	sostener			to hold	Basic actions and technology	VISUAL
848	brake [sic]	frenar (¿romper?)			to break	OTHER	?
849	sing	cantar			sing	Speech and language	AUDITORY
850	shoot arrow	disparar flecha			shoot arrow	Warfare and hunting	VISUAL, AUDITORY
851	chew	masticar			chew	Food and drink, The body	AUDITORY, VISUAL
852	scratch	arañar			scratch	Basic actions and technology	VISUAL, AUDITORY
853	get in (smoothly)	entrar (suavemente, fácilmente)			get in smoothly	Basic actions and technology	VISUAL
854	poke hole with arrow	hacer un hueco con flecha			poke hole with arrow	Basic actions and technology	VISUAL, AUDITORY
855	fart	tirarse un pedo			fart	The body	AUDITORY
856	throw sand	lanzar arena			throw sand	Basic actions and technology	VISUAL, AUDITORY
857	jump	saltar			jump	Basic actions and technology	VISUAL, AUDITORY
858	throw (stone at house)	lanzar (piedra a una casa)			throw stone	Motion	VISUAL, AUDITORY
859	turn	voltear			turn	Basic actions and technology	VISUAL
860	pull (hair, feather)	jalar (pelo, pluma)			pull	Basic actions and technology	VISUAL
861	swallow (liquid)	tragar (líquido)			swallow liquid	The body, Food and drink	AUDITORY
862	pull with (fishing) line	jalar con hilo (de pescar)			pull with fishing line	Basic actions and technology	VISUAL
863	cut	cortar			cut	Basic actions and technology	AUDITORY
864	slap (to kill insects on the body)	dar palmadas (para matar insectos en el cuerpo)			slap	The body	AUDITORY
865	tie up	amarrar			tie up	Basic actions and technology	VISUAL
866	thresh	trillar (¿desgranar?)			thresh	OTHER	VISUAL, AUDITORY
867	beat	golpear			beat	Basic actions and technology	AUDITORY
868	beat (with stick, hand)	golpear (con palo, mano)			beat	Basic actions and technology	AUDITORY
869	hatch	romperse el cascarón			hatch	Animals	AUDITORY, VISUAL
870	look	mirar			look	Sense perception	INTERNAL STATE
871	touch/shuffle (things)	tocar/revolver (cosas)			touch	Basic actions and technology	TACTILE, VISUAL
872	pinch	pellizcar			pinch	Basic actions and technology	VISUAL
873	nod	asentir			nod	The body, Motion	VISUAL
874	drill	perforar, taladrar			drill	Basic actions and technology	AUDITORY
875	bite	morder			bite	The body	VISUAL, AUDITORY
876	poke (with tip)	pinchar/hincar (con objeto puntiagudo)			poke with a tip	Basic actions and technology	VISUAL, AUDITORY
877	thunder noise	sonido del trueno			thunder	The physical world	AUDITORY
878	blink	pestañear			blink	The body	VISUAL
879	push	empujar			push	Basic actions and technology	VISUAL
880	dive	bucear			dive	Motion	VISUAL
881	fall (heavy object)	caer (objeto pesado)			heavy object falling	Motion	AUDITORY, VISUAL
882	poke hole	hacer un hueco			poke hole	Basic actions and technology	VISUAL, AUDITORY
883	fall down	caer			fall down	Motion	VISUAL
